speedup,baseline_time,verification_time
2.2325,22.3572,10.0146
1.7428,29.9384,17.1787
1.5989,29.9384,18.7244
1.0176,29.9384,29.4193
1.6058,512.3215,319.0447
1.2930,512.3215,396.2333
1.0128,11.2431,11.1013
1.1179,15.0991,13.5073
1.3576,24.5863,18.1103
1.1945,24.5863,20.5836
1.1825,24.5863,20.7910
1.0108,24.5863,24.3228
1.0904,9.2814,8.5118
1.0550,9.2814,8.7978
1.1281,13.3244,11.8118
1.0633,13.3244,12.5309
1.4907,13.8315,9.2783
12.8617,120.0461,9.3336
2.2960,120.0461,52.2854
1.1073,120.0461,108.4120
1.3377,10.7583,8.0423
1.3304,10.7583,8.0866
1.5919,12.1963,7.6614
2.1213,30.6954,14.4699
2.1115,30.6954,14.5373
1.0274,28.4437,27.6854
1.0248,28.4437,27.7561
1.0157,28.4437,28.0046
1.5482,16.4009,10.5938
1.2896,16.4009,12.7179
1.2288,18.7258,15.2386
1.1750,18.7258,15.9369
1.1833,10.7714,9.1025
1.0909,10.7714,9.8736
1.0594,10.7714,10.1676
1.0335,10.7714,10.4221
1.5154,12.0497,7.9516
1.4731,12.0497,8.1800
4.7779,67.2302,14.0711
1.0086,10.5794,10.4895
1.0018,10.5794,10.5608
1.2238,8.8075,7.1965
1.3857,8.1612,5.8894
1.1151,8.2576,7.4052
1.0948,8.2576,7.5427
1.2272,13.4690,10.9754
1.2119,13.4690,11.1143
1.3020,9.1653,7.0395
1.2931,9.1653,7.0877
15.7568,174.0881,11.0484
2.6307,174.0881,66.1760
1.8845,12.5433,6.6561
1.5576,14.6171,9.3844
1.5203,14.6171,9.6145
1.1977,9.9819,8.3341
1.1859,9.9819,8.4173
1.1221,9.9819,8.8955
1.3012,13.7968,10.6030
1.2956,13.7968,10.6486
1.7272,13.7968,7.9878
1.6902,16.4561,9.7359
1.2219,16.4561,13.4676
1.1155,16.4561,14.7519
1.0798,16.4561,15.2400
1.8307,10.9336,5.9722
1.2266,10.5961,8.6384
1.1861,10.5961,8.9339
1.4291,45.7578,32.0194
1.2392,45.7578,36.9243
1.1695,45.7578,39.1244
1.1606,45.7578,39.4259
22.8420,262.9217,11.5104
22.5111,262.9217,11.6797
