baseline_time,virtual_best_time,grade,chose
9.0773,9.0773,2,baseline
9.0773,9.0773,2,baseline
21.1769,21.1769,2,baseline
21.1769,21.1769,2,baseline
21.1769,21.1769,2,baseline
6.5256,6.5256,2,baseline
6.5256,6.5256,2,baseline
7.2422,7.2422,2,baseline
7.2422,7.2422,2,baseline
7.2422,7.2422,2,baseline
7.2422,7.2422,2,baseline
7.1717,7.0229,3,invariant
7.5810,7.5810,2,baseline
7.5810,7.5810,2,baseline
42.7418,7.6359,3,invariant
5.7301,5.7301,2,baseline
5.7301,5.7301,2,baseline
5.7301,5.7301,2,baseline
5.7301,5.7301,2,baseline
38.6703,15.4759,3,invariant
38.6703,17.1493,3,invariant
38.6703,20.7323,3,invariant
38.6703,24.3553,3,invariant
8.1674,8.1674,2,baseline
8.1674,8.1674,2,baseline
8.1674,8.1674,2,baseline
8.1674,8.1674,2,baseline
5.8293,5.8293,2,baseline
5.8293,5.8293,2,baseline
6.6647,6.6647,2,baseline
6.6647,6.6647,2,baseline
6.6647,6.6647,2,baseline
20.5969,20.5969,2,baseline
20.5969,20.5969,2,baseline
20.5969,20.5969,2,baseline
7.4317,5.9428,3,invariant
5.5162,5.5162,2,baseline
5.5162,5.5162,2,baseline
5.5162,5.5162,2,baseline
5.2223,5.2223,2,baseline
5.2223,5.2223,2,baseline
5.2223,5.2223,2,baseline
5.2223,5.2223,2,baseline
5.2223,5.2223,2,baseline
5.1948,5.1948,2,baseline
5.1948,5.1948,2,baseline
36.4308,35.7036,3,invariant
5.9622,5.9622,2,baseline
5.9622,5.9622,2,baseline
5.9622,5.9622,2,baseline
5.9622,5.9622,2,baseline
5.9622,5.9622,2,baseline
5.9622,5.9622,2,baseline
4.7877,4.7877,2,baseline
5.3772,5.3772,2,baseline
5.3772,5.3772,2,baseline
5.3772,5.3772,2,baseline
5.3772,5.3772,2,baseline
5.8093,5.8093,2,baseline
24.6090,24.6090,2,baseline
24.6090,24.6090,2,baseline
24.6090,24.6090,2,baseline
24.6090,24.6090,2,baseline
4.7979,4.7979,2,baseline
4.7979,4.7979,2,baseline
4.7979,4.7979,2,baseline
5.5215,5.5215,2,baseline
5.5215,5.5215,2,baseline
5.0542,5.0542,2,baseline
5.0542,5.0542,2,baseline
5.0542,5.0542,2,baseline
5.0542,5.0542,2,baseline
139.7506,40.2546,3,invariant
139.7506,95.4252,3,invariant
139.7506,113.5028,3,invariant
6.1960,6.1960,2,baseline
6.1960,6.1960,2,baseline
6.1960,6.1960,2,baseline
6.1960,6.1960,2,baseline
4.9401,4.9401,2,baseline
4.9401,4.9401,2,baseline
4.9401,4.9401,2,baseline
9.2035,9.2035,2,baseline
9.2035,9.2035,2,baseline
9.2035,9.2035,2,baseline
9.2035,9.2035,2,baseline
5.6348,5.6348,2,baseline
7.0163,7.0163,2,baseline
7.0163,7.0163,2,baseline
7.0163,7.0163,2,baseline
7.0163,7.0163,2,baseline
7.0163,7.0163,2,baseline
7.0163,7.0163,2,baseline
7.0163,7.0163,2,baseline
7.0163,7.0163,2,baseline
6.4051,6.4051,2,baseline
5.0407,5.0407,2,baseline
8.8385,8.8385,2,baseline
8.8385,8.8385,2,baseline
8.8385,8.8385,2,baseline
8.8385,8.8385,2,baseline
56.7271,56.7271,2,baseline
5.4637,5.4637,2,baseline
5.4637,5.4637,2,baseline
46.8124,45.2320,3,invariant
46.8124,46.8124,2,baseline
46.8124,46.8124,2,baseline
46.8124,46.8124,2,baseline
16.9732,16.9732,2,baseline
16.9732,16.9732,2,baseline
16.9732,16.9732,2,baseline
16.9732,16.9732,2,baseline
